<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;D;210625;000000;133.46;133.88;132.81;133.12;2634179
AAPL;D;210628;000000;133.42;135.24;133.37;134.74;3187628
AAPL;D;210629;000000;134.76;136.49;134.36;136.33;3504171
AAPL;D;210630;000000;136.17;137.4;135.88;136.92;3342377
AAPL;D;210701;000000;136.56;137.32;135.77;137.26;2982095
AAPL;D;210702;000000;137.94;140;137.75;139.96;4893574
AAPL;D;210706;000000;140.11;143.14;140.09;142;5359356
AAPL;D;210707;000000;143.535;144.89;142.67;144.61;5020137
AAPL;D;210708;000000;141.65;144.05;140.665;143.31;5058748
AAPL;D;210709;000000;142.75;145.64;142.655;145.08;5475849
AAPL;D;210712;000000;146.21;146.31;144.01;144.51;3133516
AAPL;D;210713;000000;144.06;147.45;143.69;145.7;4614775
AAPL;D;210714;000000;148.1;149.57;147.68;149.25;5823752
AAPL;D;210715;000000;149.24;150;147.13;148.48;5229342
AAPL;D;210716;000000;148.46;149.75;145.88;146.35;3892775
AAPL;D;210719;000000;143.69;144.07;141.675;142.52;5488391
AAPL;D;210720;000000;143.46;147.09;142.96;146.14;4196580
AAPL;D;210721;000000;145.53;146.12;144.63;145.38;3087589
AAPL;D;210722;000000;145.935;148.19;145.82;146.8;3237798
AAPL;D;210723;000000;147.55;148.71;146.93;148.56;3406500
AAPL;D;210726;000000;148.27;149.82;147.71;148.98;2856313
AAPL;D;210727;000000;149.1;149.21;145.55;146.78;4412838
AAPL;D;210728;000000;144.84;146.96;142.55;144.98;5003663
AAPL;D;210729;000000;144.65;146.55;144.59;145.62;2776739
AAPL;D;210730;000000;144.41;146.32;144.13;145.86;3360405
AAPL;D;210802;000000;146.36;146.94;145.26;145.54;2831932
AAPL;D;210803;000000;145.77;148.04;145.18;147.35;3259510
AAPL;D;210804;000000;147.27;147.78;146.28;146.96;2847672
AAPL;D;210805;000000;146.98;147.82;146.19;147.06;2389028
AAPL;D;210806;000000;146.35;147.1;145.63;146.12;2566764
AAPL;D;210809;000000;146.25;146.7;145.52;146.14;1902242
AAPL;D;210810;000000;146.44;147.71;145.3;145.62;2775343
AAPL;D;210811;000000;146.06;146.7;145.53;145.91;2289525
AAPL;D;210812;000000;146.19;149.045;145.85;148.88;3744642
AAPL;D;210813;000000;149;149.44;148.27;149.09;2569341
AAPL;D;210816;000000;148.61;151.12;146.48;151.12;4573495
AAPL;D;210817;000000;150.25;151.67;149.1;150.26;4201952
AAPL;D;210818;000000;149.89;150.71;146.15;146.36;4448250
AAPL;D;210819;000000;145.09;148;144.52;146.7;4491357
AAPL;D;210820;000000;147.45;148.5;146.8;148.19;3195912
AAPL;D;210823;000000;148.28;150.18;147.89;149.7;2428424
AAPL;D;210824;000000;149.47;150.86;149.16;149.63;2404198
AAPL;D;210825;000000;149.81;150.3;147.81;148.34;2591140
AAPL;D;210826;000000;148.39;149.11;147.52;147.55;2758712
AAPL;D;210827;000000;147.37;148.74;146.84;148.6;2733012
AAPL;D;210830;000000;149.05;153.49;148.64;153.11;4751535
AAPL;D;210831;000000;152.68;152.79;151.29;151.83;4146427
AAPL;D;210901;000000;152.81;154.98;152.34;152.54;3618287
AAPL;D;210902;000000;153.87;154.72;152.4;153.7;3099612
AAPL;D;210903;000000;153.76;154.62;153.1;154.37;2507847
AAPL;D;210907;000000;154.98;157.26;154.4;156.7;3987084
AAPL;D;210908;000000;156.99;157.03;153.98;155.11;3529373
AAPL;D;210909;000000;155.49;156.11;153.95;154.12;2511921
AAPL;D;210910;000000;154.99;155.48;148.71;149.02;7552088
AAPL;D;210913;000000;150.63;151.41;148.75;149.62;5263486
AAPL;D;210914;000000;150.35;151.06;146.91;148.18;5065959
AAPL;D;210915;000000;148.56;149.43;146.38;149.09;3809911
AAPL;D;210916;000000;148.44;148.97;147.23;148.86;4252823
AAPL;D;210917;000000;148.82;148.82;145.76;146;5044902
AAPL;D;210920;000000;143.78;144.83;141.27;143.01;6428984
AAPL;D;210921;000000;143.99;144.6;142.78;143.4;3790720
AAPL;D;210922;000000;144.45;146.42;143.71;145.8;3656472
AAPL;D;210923;000000;146.66;147.08;145.65;146.75;3134808
AAPL;D;210924;000000;145.66;147.47;145.57;146.93;2836770
AAPL;D;210927;000000;145.4;145.96;143.83;145.39;3504880
AAPL;D;210928;000000;143.19;144.75;141.7;141.95;5602142
AAPL;D;210929;000000;142.47;144.45;142.03;142.86;3205269
AAPL;D;210930;000000;143.67;144.37;141.29;141.36;4102531
AAPL;D;211001;000000;141.89;142.91;139.13;142.42;4233615
AAPL;D;211004;000000;141.68;142.2;138.27;139.19;4699224
AAPL;D;211005;000000;139.63;142.22;139.36;141.09;3030342
AAPL;D;211006;000000;139.53;142.145;138.38;142;3902253
AAPL;D;211007;000000;143.03;144.21;142.72;143.285;2568096
AAPL;D;211008;000000;144.08;144.16;142.56;143.02;2654722
AAPL;D;211011;000000;142.26;144.8;141.82;142.8;2323778
AAPL;D;211012;000000;143.21;143.21;141.05;141.46;3276842
AAPL;D;211013;000000;141.24;141.39;139.2;140.94;3588464
AAPL;D;211014;000000;142.11;143.88;141.52;143.75;3029621
AAPL;D;211015;000000;143.77;144.89;143.51;144.83;2839195
AAPL;D;211018;000000;143.445;146.83;143.19;146.55;2920823
AAPL;D;211019;000000;147.01;149.17;146.55;148.78;3476058
AAPL;D;211020;000000;148.73;149.75;148.12;149.35;2685397
AAPL;D;211021;000000;148.79;149.64;147.89;149.45;2766097
AAPL;D;211022;000000;149.58;150.18;148.64;148.69;3015506
AAPL;D;211025;000000;148.68;149.37;147.64;148.64;1842411
AAPL;D;211026;000000;149.35;150.83;149.02;149.25;2832721
AAPL;D;211027;000000;149.35;149.73;148.49;148.81;2169683
AAPL;D;211028;000000;149.82;153.16;149.77;152.55;4056674
AAPL;D;211029;000000;147.215;149.935;146.42;149.76;5742917
AAPL;D;211101;000000;148.985;149.69;147.81;148.98;2850037
AAPL;D;211102;000000;148.69;151.57;148.69;150.01;3210900
AAPL;D;211103;000000;150.39;151.97;149.82;151.49;2389887
AAPL;D;211104;000000;151.63;152.42;150.65;150.96;2716891
AAPL;D;211105;000000;151.86;152.19;150.06;151.26;2758013
AAPL;D;211108;000000;151.41;151.52;150.17;150.46;2245221
AAPL;D;211109;000000;150.25;151.42;150.08;150.85;3211208
AAPL;D;211110;000000;150.02;150.13;147.85;147.92;3861778
AAPL;D;211111;000000;148.96;149.04;147.7;147.86;2169658
AAPL;D;211112;000000;148.43;150.4;147.48;149.95;3199115
AAPL;D;211115;000000;150.37;151.87;149.45;149.99;2691874
AAPL;D;211116;000000;149.93;151.48;149.34;150.99;2396772
AAPL;D;211117;000000;151.05;155;151.03;153.59;4443251
AAPL;D;211118;000000;153.71;158.67;153.07;157.9;6907891
AAPL;D;211119;000000;157.57;161.015;156.54;160.58;5983527
AAPL;D;211122;000000;161.68;165.7;161;161.09;7283007
